reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,41,6,5,l,1.1559443000005558,None,5,6,41,3,79.52096180000808,,79.51015089999419,79.52096180000808,80.52067190001253,80.52067190001253,80.52067190001253,81.6912068000529,l,1.1559443000005558,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,42,0,6,l,1.2426072999369353,None,6,0,42,3,81.70424410002306,,81.69134609994944,81.70424410002306,82.70424380002078,82.70424380002078,82.70424380002078,83.95653930003755,l,1.2426072999369353,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
15,35,13,43,1,6,t,4.284939700039104,None,6,1,43,1,83.97055129997898,,83.95899790001567,83.97055129997898,84.9707483999664,84.9707483999664,84.9707483999664,89.257245899993,t,4.284939700039104,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,44,2,6,t,2.180842899950221,None,6,2,44,6,89.27058670006227,,89.25954150001053,89.27058670006227,90.2707928000018,90.2707928000018,90.2707928000018,92.4567645000061,t,2.180842899950221,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,45,3,6,l,0.7430251999758184,None,6,3,45,0,92.47067549999338,,92.45890790002886,92.47067549999338,93.4710281000007,93.4710281000007,93.4710281000007,94.2231485999655,l,0.7430251999758184,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
27,50,21,46,4,6,l,0.7175734000047669,None,6,4,46,2,94.23731240001507,,94.2256558999652,94.23731240001507,95.23716829996556,95.23716829996556,95.23716829996556,95.95864910003729,l,0.7175734000047669,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,47,5,6,t,1.5871140999952331,None,6,5,47,4,95.97050920000765,,95.96085390006192,95.97050920000765,96.97078560001682,96.97078560001682,96.97078560001682,98.57317049999256,t,1.5871140999952331,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,48,6,6,t,0.784651399939321,None,6,6,48,5,98.58688900002744,,98.57531179999933,98.58688900002744,99.5874513000017,99.5874513000017,99.5874513000017,100.37367290002294,t,0.784651399939321,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
15,35,13,49,0,7,l,0.7532827000832185,None,7,0,49,1,100.38736409996636,,100.37609060003888,100.38736409996636,101.38699559995439,101.38699559995439,101.38699559995439,102.15677090000827,l,0.7532827000832185,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,50,1,7,t,4.008650799980387,None,7,1,50,3,102.17045239999425,,102.15959499997552,102.17045239999425,103.17098120006267,103.17098120006267,103.17098120006267,107.18990660004783,t,4.008650799980387,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,51,2,7,t,1.5221259000245482,None,7,2,51,6,107.20408010005485,,107.19191870000213,107.20408010005485,108.20391190005466,108.20391190005466,108.20391190005466,109.73995159997139,t,1.5221259000245482,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,52,3,7,t,1.849034099956043,None,7,3,52,4,109.75380920001771,,109.74227839999367,109.75380920001771,110.75373560003936,110.75373560003936,110.75373560003936,112.60625599999912,t,1.849034099956043,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,53,4,7,t,0.7275981000857428,None,7,4,53,5,112.62040240003262,,112.60842499998398,112.62040240003262,113.62066749995574,113.62066749995574,113.62066749995574,114.35659720003605,t,0.7275981000857428,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
